title,author,price
 PyTorch 2.0深度学习从零开始学,王晓华,¥34.50
 剪映实用教程（电脑版+手机版）,龙飞,¥57.80
 计算机视觉——算法与应用,[美] 塞利斯基（Richard Szeliski） 著，艾海舟，兴军亮 等 译,¥69.50
 让儿童自然成长——幼儿园种植课程设计与实施,张艳苓、王 军,¥34.50
 AI可解释性（Python语言版）,[意] 列奥尼达·詹法纳(Leonida Gianfagna)、安东尼奥·迪·塞科(Antonio Di Cecco)著 郭涛 译,¥29.90
 MySQL 8.0运维与优化（微课视频版）,姚远,¥49.90
 ANSYS CFD网格划分技术指南,胡坤，邓荣，梁栋 编著,¥39.00
 几何画板课件制作标准教程（全彩微课版）,职桂珍 杨彩,¥29.90
 Python数据分析与可视化,魏伟一、李晓红、高志玲,¥29.90
 AutoCAD 2021入门到精通autocad基础教程cad教材自学版cad机械设计室内设计建筑设计装潢设计家具设计电,天工在线 编著,¥88.00
 超简单：用ChatGPT+实用AI工具让Office高效办公飞起来 ai应用aigc智能经济chatGPTai革命ai未,快学习教育◎编著,¥37.90
